"vcfid","source","species"
"S45001","msupple","melliodora"
"S45002","msupple","melliodora"
"S45003","msupple","melliodora"
"S45004","msupple","melliodora"
"S45005","msupple","melliodora"
"S45006","msupple","melliodora"
"S45007","msupple","melliodora"
"S45008","msupple","melliodora"
"S45009","msupple","melliodora"
"S45010","msupple","melliodora"
"S45011","msupple","melliodora"
"S45012","msupple","melliodora"
"S45013","msupple","melliodora"
"S45014","msupple","melliodora"
"S45015","msupple","melliodora"
"S45016","msupple","melliodora"
"S45017","msupple","melliodora"
"S45018","msupple","melliodora"
"S45019","msupple","melliodora"
"S45020","msupple","melliodora"
"S45021","msupple","melliodora"
"S45022","msupple","melliodora"
"S45023","msupple","melliodora"
"S45024","msupple","melliodora"
"S45025","msupple","melliodora"
"S45026","msupple","melliodora"
"S45027","msupple","melliodora"
"S45028","msupple","melliodora"
"S45029","msupple","melliodora"
"S45030","msupple","melliodora"
"S45031","msupple","melliodora"
"S45032","msupple","melliodora"
"S45033","msupple","melliodora"
"S45034","msupple","melliodora"
"S45035","msupple","melliodora"
"S45036","msupple","melliodora"
"S45037","msupple","melliodora"
"S45038","msupple","melliodora"
"S45039","msupple","melliodora"
"S45040","msupple","melliodora"
"S45041","msupple","melliodora"
"S45042","msupple","melliodora"
"S45043","msupple","melliodora"
"S45044","msupple","melliodora"
"S45045","msupple","melliodora"
"S45046","msupple","melliodora"
"S45047","msupple","melliodora"
"S45048","msupple","melliodora"
"S45049","msupple","melliodora"
"S45050","msupple","melliodora"
"S45051","msupple","melliodora"
"S45052","msupple","melliodora"
"S45053","msupple","melliodora"
"S45054","msupple","melliodora"
"S45055","msupple","melliodora"
"S45056","msupple","melliodora"
"S45057","msupple","melliodora"
"S45058","msupple","melliodora"
"S45059","msupple","melliodora"
"S45060","msupple","melliodora"
"S45061","msupple","melliodora"
"S45062","msupple","melliodora"
"S45063","msupple","melliodora"
"S45064","msupple","melliodora"
"S45065","msupple","melliodora"
"S45066","msupple","melliodora"
"S45067","msupple","melliodora"
"S45068","msupple","melliodora"
"S45069","msupple","melliodora"
"S45070","msupple","melliodora"
"S45071","msupple","melliodora"
"S45072","msupple","melliodora"
"S45073","msupple","melliodora"
"S45074","msupple","melliodora"
"S45075","msupple","melliodora"
"S45076","msupple","melliodora"
"S45077","msupple","melliodora"
"S45078","msupple","melliodora"
"S45079","msupple","melliodora"
"S45080","msupple","melliodora"
"S45081","msupple","melliodora"
"S45082","msupple","melliodora"
"S45083","msupple","melliodora"
"S45084","msupple","melliodora"
"S45085","msupple","melliodora"
"S45086","msupple","melliodora"
"S45087","msupple","melliodora"
"S45088","msupple","melliodora"
"S45089","msupple","melliodora"
"S45090","msupple","melliodora"
"S45091","msupple","melliodora"
"S45092","msupple","melliodora"
"S45093","msupple","melliodora"
"S45094","msupple","melliodora"
"S45095","msupple","melliodora"
"S45096","msupple","melliodora"
"S45097","msupple","melliodora"
"S45098","msupple","melliodora"
"S45099","msupple","melliodora"
"S45100","msupple","melliodora"
"S45101","msupple","melliodora"
"S45102","msupple","melliodora"
"S45103","msupple","melliodora"
"S45104","msupple","melliodora"
"S45105","msupple","melliodora"
"S45106","msupple","melliodora"
"S45107","msupple","melliodora"
"S45108","msupple","melliodora"
"S45109","msupple","melliodora"
"S45110","msupple","melliodora"
"S45111","msupple","melliodora"
"S45112","msupple","melliodora"
"S45113","msupple","melliodora"
"S45114","msupple","melliodora"
"S45115","msupple","melliodora"
"S45116","msupple","melliodora"
"S45117","msupple","melliodora"
"S45118","msupple","melliodora"
"S45119","msupple","melliodora"
"S45120","msupple","melliodora"
"S45121","msupple","melliodora"
"S45122","msupple","melliodora"
"S45123","msupple","melliodora"
"S45124","msupple","melliodora"
"S45125","msupple","melliodora"
"S45126","msupple","melliodora"
"S45127","msupple","melliodora"
"S45128","msupple","melliodora"
"S45129","msupple","melliodora"
"S45130","msupple","melliodora"
"S45131","msupple","melliodora"
"S45132","msupple","melliodora"
"S45133","msupple","melliodora"
"S45134","msupple","melliodora"
"S45135","msupple","melliodora"
"S45136","msupple","melliodora"
"S45137","msupple","melliodora"
"S45138","msupple","melliodora"
"S45139","msupple","melliodora"
"S45140","msupple","melliodora"
"S45141","msupple","melliodora"
"S45142","msupple","melliodora"
"S45143","msupple","melliodora"
"S45144","msupple","melliodora"
"S45145","msupple","melliodora"
"S45146","msupple","melliodora"
"S45147","msupple","melliodora"
"S45148","msupple","melliodora"
"S45149","msupple","melliodora"
"S45150","msupple","melliodora"
"S45151","msupple","melliodora"
"S45152","msupple","melliodora"
"S45153","msupple","melliodora"
"S45154","msupple","melliodora"
"S45155","msupple","melliodora"
"S45156","msupple","melliodora"
"S45157","msupple","melliodora"
"S45158","msupple","melliodora"
"S45159","msupple","melliodora"
"S45160","msupple","melliodora"
"S45161","msupple","melliodora"
"S45162","msupple","melliodora"
"S45163","msupple","melliodora"
"S45164","msupple","melliodora"
"S45165","msupple","melliodora"
"S45166","msupple","melliodora"
"S45167","msupple","melliodora"
"S45168","msupple","melliodora"
"S45169","msupple","melliodora"
"S45170","msupple","melliodora"
"S45171","msupple","melliodora"
"S45172","msupple","melliodora"
"S45173","msupple","melliodora"
"S45174","msupple","melliodora"
"S45175","msupple","melliodora"
"S45176","msupple","melliodora"
"S45177","msupple","melliodora"
"S45178","msupple","melliodora"
"S45179","msupple","melliodora"
"S45180","msupple","melliodora"
"S45181","msupple","melliodora"
"S45182","msupple","melliodora"
"S45183","msupple","melliodora"
"S45184","msupple","melliodora"
"S45185","msupple","melliodora"
"S45186","msupple","melliodora"
"S45187","msupple","melliodora"
"S45188","msupple","melliodora"
"S45189","msupple","melliodora"
"S45190","msupple","melliodora"
"S45191","msupple","melliodora"
"S45192","msupple","melliodora"
"S45193","msupple","melliodora"
"S45194","msupple","melliodora"
"S45195","msupple","melliodora"
"S45196","msupple","melliodora"
"S45197","msupple","melliodora"
"S45198","msupple","melliodora"
"S45199","msupple","melliodora"
"S45200","msupple","melliodora"
"S45201","msupple","melliodora"
"S45202","msupple","melliodora"
"S45203","msupple","melliodora"
"S45204","msupple","melliodora"
"S45205","msupple","melliodora"
"S45206","msupple","melliodora"
"S45207","msupple","melliodora"
"S45208","msupple","melliodora"
"S45209","msupple","melliodora"
"S45210","msupple","melliodora"
"S45211","msupple","melliodora"
"S45212","msupple","melliodora"
"S45213","msupple","melliodora"
"S45214","msupple","melliodora"
"S45215","msupple","melliodora"
"S45216","msupple","melliodora"
"S45217","msupple","melliodora"
"S45218","msupple","melliodora"
"S45219","msupple","melliodora"
"S45220","msupple","melliodora"
"S45221","msupple","melliodora"
"S45222","msupple","melliodora"
"S45223","msupple","melliodora"
"S45224","msupple","melliodora"
"S45225","msupple","melliodora"
"S45226","msupple","melliodora"
"S45227","msupple","melliodora"
"S45228","msupple","melliodora"
"S45229","msupple","melliodora"
"S45230","msupple","melliodora"
"S45231","msupple","melliodora"
"S45232","msupple","melliodora"
"S45233","msupple","melliodora"
"S45234","msupple","melliodora"
"S45235","msupple","melliodora"
"S45236","msupple","melliodora"
"S45237","msupple","melliodora"
"S45238","msupple","melliodora"
"S45239","msupple","melliodora"
"S45240","msupple","melliodora"
"S45241","msupple","melliodora"
"S45242","msupple","melliodora"
"S45243","msupple","melliodora"
"S45244","msupple","melliodora"
"S45245","msupple","melliodora"
"S45246","msupple","melliodora"
"S45247","msupple","melliodora"
"S45248","msupple","melliodora"
"S45249","msupple","melliodora"
"S45250","msupple","melliodora"
"S45251","msupple","melliodora"
"S45252","msupple","melliodora"
"S45253","msupple","melliodora"
"S45254","msupple","melliodora"
"S45255","msupple","melliodora"
"S45256","msupple","melliodora"
"S45257","msupple","melliodora"
"S45258","msupple","melliodora"
"S45259","msupple","melliodora"
"S45260","msupple","melliodora"
"S45261","msupple","melliodora"
"S45262","msupple","melliodora"
"S45263","msupple","melliodora"
"S45264","msupple","melliodora"
"S45265","msupple","melliodora"
"S45266","msupple","melliodora"
"S45267","msupple","melliodora"
"S45268","msupple","melliodora"
"S45269","msupple","melliodora"
"S45270","msupple","melliodora"
"S45271","msupple","melliodora"
"S45272","msupple","melliodora"
"S45273","msupple","melliodora"
"S45274","msupple","melliodora"
"S45275","msupple","melliodora"
"S45276","msupple","melliodora"
"S45277","msupple","melliodora"
"S45278","msupple","melliodora"
"S45279","msupple","melliodora"
"S45280","msupple","melliodora"
"S45281","msupple","melliodora"
"S45282","msupple","melliodora"
"S45283","msupple","melliodora"
"S45284","msupple","melliodora"
"S45285","msupple","melliodora"
"S45286","msupple","melliodora"
"S45287","msupple","melliodora"
"S45288","msupple","melliodora"
"S45289","msupple","melliodora"
"S45290","msupple","melliodora"
"S45291","msupple","melliodora"
"S45292","msupple","melliodora"
"S45293","msupple","melliodora"
"S45294","msupple","melliodora"
"S45295","msupple","melliodora"
"S45296","msupple","melliodora"
"S45297","msupple","melliodora"
"S45298","msupple","melliodora"
"S45299","msupple","melliodora"
"S45300","msupple","melliodora"
"S45301","msupple","melliodora"
"S45302","msupple","melliodora"
"S45303","msupple","melliodora"
"S45304","msupple","melliodora"
"S45305","msupple","melliodora"
"S45306","msupple","melliodora"
"S45307","msupple","melliodora"
"S45308","msupple","melliodora"
"S45309","msupple","melliodora"
"S45310","msupple","melliodora"
"S45311","msupple","melliodora"
"S45312","msupple","melliodora"
"S45313","msupple","melliodora"
"S45314","msupple","melliodora"
"S45315","msupple","melliodora"
"S45316","msupple","melliodora"
"S45317","msupple","melliodora"
"S45318","msupple","melliodora"
"S45319","msupple","melliodora"
"S45320","msupple","melliodora"
"S45321","msupple","melliodora"
"S45322","msupple","melliodora"
"S45323","msupple","melliodora"
"S45324","msupple","melliodora"
"S45325","msupple","melliodora"
"S45326","msupple","melliodora"
"S45327","msupple","melliodora"
"S45328","msupple","melliodora"
"S45329","msupple","melliodora"
"S45330","msupple","melliodora"
"S45331","msupple","melliodora"
"S45332","msupple","melliodora"
"S45333","msupple","melliodora"
"S45334","msupple","melliodora"
"S45335","msupple","melliodora"
"S45336","msupple","melliodora"
"S45337","msupple","melliodora"
"S45338","msupple","melliodora"
"S45339","msupple","melliodora"
"S45340","msupple","melliodora"
"S45341","msupple","melliodora"
"S45342","msupple","melliodora"
"S45343","msupple","melliodora"
"S45344","msupple","melliodora"
"S45345","msupple","melliodora"
"S45346","msupple","melliodora"
"S45347","msupple","melliodora"
"S45348","msupple","melliodora"
"S45349","msupple","melliodora"
"S45350","msupple","melliodora"
"S45351","msupple","melliodora"
"S45352","msupple","melliodora"
"S45353","msupple","melliodora"
"S45354","msupple","melliodora"
"S45355","msupple","melliodora"
"S45356","msupple","melliodora"
"S45357","msupple","melliodora"
"S45358","msupple","melliodora"
"S45359","msupple","melliodora"
"S45360","msupple","melliodora"
"S45361","msupple","melliodora"
"S45362","msupple","melliodora"
"S45363","msupple","melliodora"
"S45364","msupple","melliodora"
"S45365","msupple","melliodora"
"S45366","msupple","melliodora"
"S45367","msupple","melliodora"
"S45368","msupple","melliodora"
"S45369","msupple","melliodora"
"S45370","msupple","melliodora"
"S45371","msupple","melliodora"
"S45372","msupple","melliodora"
"S45373","msupple","melliodora"
"S45374","msupple","melliodora"
"S45375","msupple","melliodora"
"S45376","msupple","melliodora"
"S45377","msupple","melliodora"
"S45378","msupple","melliodora"
"S45379","msupple","melliodora"
"Hillgrove.turn","emag","sp. aff. magnificata"
"J.Linney","emag","baueriana"
"TLC714","emag","magnificata"
"TLC715","emag","conica"
"TLC716","emag","conica"
"TLC719","emag","conica"
"TLC720","emag","conica"
"TLC721","emag","conica"
"TLC724","emag","conica"
"TLC725","emag","conica"
"TLC726","emag","conica"
"TLC727","emag","magnificata"
"TLC728","emag","magnificata"
"TLC730","emag","magnificata"
"TLC731","emag","magnificata"
"TLC732","emag","magnificata"
"TLC733","emag","magnificata"
"TLC734","emag","magnificata"
"TLC737","emag","sp. aff. magnificata"
"TLC738-1","emag","sp. aff. magnificata"
"TLC738-2","emag","sp. aff. magnificata"
"TLC738-3","emag","sp. aff. magnificata"
"TLC738-4","emag","sp. aff. magnificata"
"TLC739","emag","sp. aff. magnificata"
"TLC740","emag","sp. aff. magnificata"
"TLC741","emag","conica"
"TLC750","emag","magnificata"
"TLC751","emag","magnificata"
"TLC752","emag","magnificata"
"TLC753","emag","magnificata"
"TLC754","emag","magnificata"
"TLC755","emag","magnificata"
"TLC756","emag","magnificata"
"TLC757","emag","magnificata"
"TLC758","emag","magnificata"
"TLC760","emag","magnificata"
"TLC761","emag","magnificata"
"TLC762","emag","magnificata"
"TLC763","emag","magnificata"
"TLC764","emag","magnificata"
"TLC766","emag","magnificata"
"TLC767","emag","magnificata"
"TLC768","emag","conica"
"TLC769","emag","conica"
"TLC770","emag","conica"
"TLC772","emag","conica"
"TLC773","emag","conica"
"TLC775","emag","conica"
"TLC776","emag","conica"
"TLC780","emag","conica"
"TLC785","emag","sp. Dalveen"
"TLC786","emag","sp. Dalveen"
"TLC787","emag","sp. Dalveen"
"TLC788","emag","sp. Dalveen"
"TLC789","emag","sp. Dalveen"
"TLC790","emag","sp. Dalveen"
"TLC791","emag","sp. Dalveen"
"TLC792","emag","sp. Dalveen"
"TLC793","emag","sp. Dalveen"
"TLC794","emag","sp. Dalveen"
"TLC795","emag","sp. Dalveen"
"TLC796","emag","sp. Dalveen"
"TLC797","emag","sp. Dalveen"
"TLC798","emag","sp. Dalveen"
"TLC799","emag","sp. Dalveen"
"TLC800","emag","sp. Dalveen"
"TLC801","emag","sp. Dalveen"
"TLC804","emag","conica"
"TLC805","emag","conica"
"TLC806","emag","conica"
"TLC807","emag","magnificata"
"TLC808","emag","magnificata"
"TLC809","emag","magnificata"
"TLC810","emag","magnificata"
"TLC811","emag","magnificata"
"TLC812","emag","magnificata"
"TLC813","emag","magnificata"
"TLC814","emag","magnificata"
"TLC815","emag","magnificata"
"TLC816","emag","magnificata"
"TLC817","emag","magnificata"
"TLC818","emag","magnificata"
"TLC819","emag","magnificata"
"TLC820","emag","magnificata"
"TLC821","emag","magnificata"
"TLC822","emag","magnificata"
"TLC823","emag","magnificata"
"TLC824","emag","magnificata"
"TLC825","emag","magnificata"
"TLC826","emag","magnificata"
"TLC827","emag","magnificata"
"TLC828","emag","magnificata"
"TLC829","emag","magnificata"
"TLC830","emag","magnificata"
"TLC831","emag","magnificata"
"TLC832","emag","baueriana"
"TLC833","emag","baueriana"
"TLC834","emag","baueriana"
"TLC835","emag","baueriana"
"TLC836","emag","baueriana"
"TLC837","emag","baueriana"
"TLC838","emag","baueriana"
"TLC839","emag","baueriana"
"TLC840","emag","baueriana"
"TLC841","emag","baueriana"
"TLC845","emag","baueriana"
"TLC846","emag","baueriana"
"TLC847","emag","baueriana"
"TLC848","emag","baueriana"
"TLC849","emag","baueriana"
"TLC850","emag","baueriana"
"TLC851","emag","baueriana"
"TLC852","emag","baueriana"
"TLC853","emag","baueriana"
"TLC854","emag","baueriana"
"TLC855","emag","baueriana"
"TLC856","emag","baueriana"
"TLC857","emag","polyanthemos"
"TLC858","emag","polyanthemos"
"TLC859","emag","polyanthemos"
"TLC861","emag","polyanthemos"
"TLC862","emag","polyanthemos"
"TLC863","emag","polyanthemos"
"TLC864","emag","polyanthemos"
"TLC865","emag","polyanthemos"
"TLC866","emag","magnificata"
"TLC868","emag","magnificata"
"TLC869","emag","magnificata"
"TLC870","emag","magnificata"
"TLC871","emag","magnificata"
"TLC872","emag","magnificata"
"TLC873","emag","magnificata"
"TLC874","emag","magnificata"
"TLC875","emag","magnificata"
"TLC876","emag","magnificata"
"TLC877","emag","magnificata"
"TLC878","emag","magnificata"
"TLC879","emag","magnificata"
"TLC880","emag","magnificata"
"TLC881","emag","magnificata"
"TLC882","emag","magnificata"
"TLC883","emag","magnificata"
"TLC884","emag","magnificata"
"TLC885","emag","magnificata"
"TLC886","emag","magnificata"
"TLC887","emag","magnificata"
"TLC888","emag","magnificata"
"TLC889","emag","magnificata"
"TLC890","emag","magnificata"
"TLC891","emag","magnificata"
"TLC892","emag","magnificata"
"TLC893","emag","magnificata"
"TLC894","emag","magnificata"
"TLC895","emag","magnificata"
"TLC896","emag","magnificata"
"TLC897","emag","magnificata"
"TLC898","emag","magnificata"
"TLC899","emag","magnificata"
"TLC900","emag","magnificata"
"TLC901","emag","magnificata"
"TLC902","emag","magnificata"
"TLC903","emag","magnificata"
"TLC904","emag","magnificata"
"TLC905","emag","magnificata"
"TLC906","emag","magnificata"
"TLC907","emag","magnificata"
"TLC908","emag","sp. aff. magnificata"
"TLC909","emag","sp. aff. magnificata"
"TLC910","emag","sp. aff. magnificata"
"TLC911","emag","sp. aff. magnificata"
"TLC912","emag","sp. aff. magnificata"
"TLC913","emag","sp. aff. magnificata"
"TLC914","emag","sp. aff. magnificata"
"TLC915","emag","sp. aff. magnificata"
"TLC916","emag","magnificata"
"TLC917","emag","magnificata"
"TLC918","emag","magnificata"
"TLC922-1","emag","sp. aff. magnificata"
"TLC922-2","emag","sp. aff. magnificata"
"TLC922-3","emag","sp. aff. magnificata"
"TLC922-4","emag","sp. aff. magnificata"
"TLC922-5","emag","sp. aff. magnificata"
"TLC939","emag","magnificata"
"TLC940","emag","magnificata"
"TLC941","emag","magnificata"
"TLC945","emag","polyanthemos"
"TLC946","emag","sp. aff. magnificata"
"TLC947","emag","sp. aff. magnificata"
"TLC948","emag","sp. aff. magnificata"
"TLC949","emag","sp. aff. magnificata"
"TLC950","emag","sp. aff. magnificata"
"J417","proj1","crebra"
"NE-odo","proj1","odorata"
"J383","proj1","polyanthemos"
"J328","proj1","moluccana"
"J373","proj1","melliodora"
"J342","proj1","sideroxylon"
"J355b","proj1","sideroxylonXmicrocarpa"
"J327","proj1","crebra"
"J303","proj1","albens"
"J362-young","proj1","sideroxylon"
"J333","proj1","caleyi"
"J375","proj1","melliodora"
"J334","proj1","moluccana"
"2:TLC720","proj1","conica"
"J355","proj1","sideroxylon"
"J316","proj1","crebra"
"J432","proj1","fibrosa"
"J301","proj1","sideroxylon"
"2:TLC725","proj1","conica"
"J363","proj1","microcarpa"
"J427","proj1","caleyi"
"J421","proj1","sideroxylon"
"J335","proj1","microcarpa"
"J403","proj1","caleyi"
"J298","proj1","sideroxylon"
"J371","proj1","fibrosa"
"J411","proj1","fibrosa"
"MelMosaicMerged","proj1","melliodora"
"J352","proj1","sideroxylon"
"J345","proj1","albens"
"J320","proj1","moluccana"
"J405","proj1","sideroxylon"
"J374","proj1","albens"
"J369","proj1","caleyi"
"J349","proj1","albens"
"2:TLC726","proj1","conica"
"J395","proj1","albensXmicrocarpa"
"J318","proj1","melliodora"
"J393","proj1","albens"
"J368","proj1","caleyi"
"J330","proj1","fibrosa"
"J427a","proj1","caleyi"
"J404","proj1","caleyi"
"J351","proj1","polyanthemos"
"NBJ30","proj1","microcarpa"
"J359","proj1","sideroxylon"
"J321g","proj1","crebra"
"NAL05","proj1","microcarpa"
"J367i","proj1","sideroxylonXmoluccana"
"J347","proj1","polyanthemos"
"J360","proj1","conica"
"J420","proj1","moluccana"
"J344","proj1","polyanthemos"
"J307","proj1","crebra"
"J311","proj1","fibrosa"
"J381","proj1","polyanthemos"
"J399","proj1","leucoxylon"
"J294","proj1","albens"
"J407","proj1","fibrosa"
"J400","proj1","moluccana"
"J412","proj1","moluccana"
"J376","proj1","albens"
"J296","proj1","melliodora"
"NCR13","proj1","microcarpa"
"VWG14","proj1","microcarpa"
"J392","proj1","tricarpa"
"J423","proj1","moluccana"
"J431","proj1","crebra"
"J402","proj1","caleyi"
"J419","proj1","albens"
"J413","proj1","albens"
"J424","proj1","albens"
"J338","proj1","conica"
"RA1006","proj1","albens"
"J414","proj1","albens"
"J329","proj1","conica"
"J398","proj1","leucoxylon"
"J408","proj1","crebra"
"J401","proj1","sideroxylon"
"J361","proj1","albens"
"VMA18","proj1","microcarpa"
"J353","proj1","polyanthemos"
"J340","proj1","melliodora"
"J331","proj1","crebra"
"J326","proj1","moluccana"
"J370","proj1","fibrosa"
"J397","proj1","leucoxylon"
"J406","proj1","albens"
"J366","proj1","fibrosa"
"J416","proj1","sideroxylon"
"J389","proj1","polyanthemos"
"2:TLC775","proj1","conica"
"J379","proj1","polyanthemos"
"J341","proj1","albens"
"J339","proj1","moluccana"
"J346","proj1","melliodora"
"NDU10","proj1","microcarpa"
"J343","proj1","crebra"
"J365","proj1","melliodora"
"J348","proj1","polyanthemos"
"J364","proj1","conica"
"J350","proj1","albens"
"NE-wool","proj1","woolsiana"
"J418","proj1","sideroxylon"
"J422","proj1","sideroxylon"
"J319","proj1","melliodora"
"J367","proj1","sideroxylon"
"J358","proj1","melliodora"
"J310","proj1","populnea"
"J333a","proj1","caleyi"
"NE-por","proj1","porosa"
"J322","proj1","fibrosa"
"J315","proj1","fibrosa"
"J387","proj1","sideroxylon"
"J324","proj1","conica"
"FDK10","proj1","microcarpa"
"2:TLC715","proj1","conica"
"J385","proj1","sideroxylon"
"NCD30","proj1","microcarpa"
"J354","proj1","moluccana"
"J372","proj1","polyanthemos"
"J357","proj1","melliodora"
"J317","proj1","crebra"
